title,genres,overview,vote_average,release_date,popularity,keywords,poster_path,homepage
Sniper: Assassin's End,Action,"Special Ops sniper Brandon Beckett (Chad Michael Collins) is set up as the primary suspect for the murder of a foreign dignitary on the eve of signing a high-profile trade agreement with the United States. Narrowly escaping death, Beckett realizes that there may be a dark operative working within the government, and partners with the only person whom he can trust: his father, legendary sniper Sgt. Thomas Beckett (Tom Berenger). Both Becketts are on the run from the CIA, Russian mercenaries, and a yakuza-trained assassin with sniper skills that rival both legendary sharpshooters.",6.2,2020-06-15,27.843,"sniper, female sniper",/AiymaaYeAl9ZBoyUz2tz4k2XaKv.jpg,
Brothers,"Drama, Thriller, War","When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",7.316,2009-12-02,27.829,"sibling relationship, loss of loved one, brother-in-law, afghanistan war (2001- ), remake, sister-in-law, wistful",/ySXRgHCdelVtvUyHcKGpiQKb052.jpg,
10 Cloverfield Lane,"Thriller, Science Fiction, Drama, Horror","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",6.981,2016-03-10,27.817,"kidnapping, paranoia, bunker, basement, survivalist, apocalypse, car accident, captive",/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,http://www.10cloverfieldlane.com/
Crawlspace,Thriller,"After witnessing a brutal murder in a cabin, a man hides in a crawlspace while the killers scour the property for a hidden fortune. As they draw nearer, he must decide if the crawlspace will be his tomb or the battleground in his fight for survival.",6.096,2022-03-31,27.779,"small town, plumber, murder, drugs, trapped, illegal logging, crawlspace, stashed cash, corrupt cop",/yZVByCjWvKdSWcYLacoFmnOoSpm.jpg,
RED 2,"Action, Comedy, Crime, Thriller",Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,6.525,2013-07-18,27.752,"london, england, cia, paris, france, england, europe, based on comic, mi6, agent, hired killer, exploding airplane",/jW7bHZgkHKUtUJCsThFuqbZGVUL.jpg,http://red-themovie.com/
Songbird,"Thriller, Romance, Drama, Mystery","During a pandemic lockdown, Nico, a young man with rare immunity, must overcome martial law, murderous vigilantes and a powerful family to reunite with his love, Sara.",6.248,2020-12-10,27.751,"quarantine, post-apocalyptic future, lockdown, pandemic, covid-19, shot in lockdown",/DxDIioCnlhjIL1vEhfrLTBg0VU.jpg,https://www.songbird.movie
Identity,"Mystery, Thriller","Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",7.18,2003-04-25,27.747,"prostitute, prisoner, psychopath, nevada, detective, rain, motel, weather, ex-cop, murder, stranded, serial killer, slasher, psychological thriller, whodunit, storm, psychiatrist, convict, thunderstorm, rainstorm, split personality, mental disorders, murder mystery, dissociative identity disorder, isolated place",/bnidwEvWNAVJ3Uco9wWtuzWAfrx.jpg,https://www.sonypictures.com/movies/identity
Nightmare Alley,"Thriller, Crime, Drama",An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.,6.992,2021-12-02,27.726,"infidelity, based on novel or book, love triangle, tarot cards, mentor, hustler, lie, supernatural, carnival, con artist, murder, fugitive, alcoholic, grifter, séance, carny, neo-noir, freak show, 1940s, spiritism, mentalist, violence",/680klE0dIreQQOyWKFgNnCAJtws.jpg,https://www.searchlightpictures.com/nightmarealley/
Miss Congeniality,"Comedy, Crime, Action","When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.",6.52,2000-12-22,27.719,"undercover agent, investigation, beauty contest, talent show, fish out of water, terrorism, surveillance, san antonio, texas, beauty standards, beauty queen",/q1m9ME0zvncnFDmKXC43RqZr8mU.jpg,
I Am Dragon,"Fantasy, Romance","In the midst of the wedding princess Miroslava is kidnapped by a dragon and carried away into his castle on the remote island. Mira left everything behind in the past - family, friends and groom. Now the only things she had were a stone cage and a mysterious young man named Arman ... but who is he and what is he doing on that island? Miroslava will know the truth too late: loving a dragon will reveal the bitter truth - love is scary.",7.188,2015-12-03,27.705,"fairy tale, dragon",/hbrsGRFwlnpy86GJTz5PgcvAGdO.jpg,
